series,h,model,MAE,RMSE,MAPE_%,coverage95_%,n
regular,1,AR(2) levels (AIC pick),0.11044004445713469,0.14653990647514575,0.47237435442509734,94.66666666666667,75
regular,1,"ARIMA(p,1,q) (AIC pick)",0.10872661271487294,0.1456888803754751,0.4658095518144917,94.66666666666667,75
regular,1,Naive (random walk),0.1112460376590074,0.1436771811553171,0.4765454424833487,96.0,75
regular,1,RW + drift,0.11004899368242922,0.14292441881203177,0.47154744902654644,96.0,75
regular,4,AR(2) levels (AIC pick),0.23495843505062497,0.3094229892088642,1.0016028534279915,89.33333333333333,75
regular,4,"ARIMA(p,1,q) (AIC pick)",0.21282174155150116,0.29614508388892286,0.9092465099902485,88.0,75
regular,4,Naive (random walk),0.21398178795172712,0.2928701480490437,0.9133256941873851,92.0,75
regular,4,RW + drift,0.20622166266273767,0.28753334830689503,0.8809393265624083,92.0,75
premium,1,AR(2) levels (AIC pick),0.08625083666160421,0.1114612403895882,0.34432277609075107,89.33333333333333,75
premium,1,"ARIMA(p,1,q) (AIC pick)",0.0845965931598299,0.10895398022767988,0.33789448076379325,90.66666666666666,75
premium,1,Naive (random walk),0.08299155790879283,0.10531553699042599,0.3312513302708291,93.33333333333333,75
premium,1,RW + drift,0.08313104057682627,0.10449682242997353,0.331847271367647,93.33333333333333,75
premium,4,AR(2) levels (AIC pick),0.20548646948760443,0.24602585220003162,0.8186757457960268,74.66666666666667,75
premium,4,"ARIMA(p,1,q) (AIC pick)",0.1974860204513665,0.24217244723414783,0.7872371815713806,84.0,75
premium,4,Naive (random walk),0.19589840418951568,0.23540850631752833,0.7804444916013707,89.33333333333333,75
premium,4,RW + drift,0.18669551845849824,0.22722182647785408,0.7448200433508054,92.0,75
diesel,1,AR(2) levels (AIC pick),0.08606647883143774,0.11536473888350648,0.34035457754486187,89.33333333333333,75
diesel,1,"ARIMA(p,1,q) (AIC pick)",0.09224810344038256,0.11922581554945343,0.36507973342740657,88.0,75
diesel,1,Naive (random walk),0.0869846910411206,0.11549638922309671,0.3436206926502788,89.33333333333333,75
diesel,1,RW + drift,0.0874018104813877,0.11308400691006248,0.345542933875073,89.33333333333333,75
diesel,4,AR(2) levels (AIC pick),0.18604604858571647,0.24541643660262152,0.7339369517247128,82.66666666666667,75
diesel,4,"ARIMA(p,1,q) (AIC pick)",0.19935122891553803,0.24806249176008038,0.7872126817117674,84.0,75
diesel,4,Naive (random walk),0.17719990551233436,0.2341477307271902,0.6990877062907185,88.0,75
diesel,4,RW + drift,0.16898018395433803,0.21387780536803902,0.6661456800340768,90.66666666666666,75
